folder,filename,family,known_status,level,vars,clauses,description
moderate,planted3sat_balanced_n120_m511_seed1.cnf,balanced planted random 3-SAT,SAT,moderate,120,511,near-threshold SAT 3-CNF with hidden balanced assignment
moderate,planted3sat_balanced_n120_m511_seed2.cnf,balanced planted random 3-SAT,SAT,moderate,120,511,near-threshold SAT 3-CNF with hidden balanced assignment
moderate,planted3sat_balanced_n160_m682_seed1.cnf,balanced planted random 3-SAT,SAT,moderate,160,682,near-threshold SAT 3-CNF with hidden balanced assignment
moderate,planted3sat_balanced_n160_m682_seed2.cnf,balanced planted random 3-SAT,SAT,moderate,160,682,near-threshold SAT 3-CNF with hidden balanced assignment
moderate,planted3sat_balanced_n200_m852_seed1.cnf,balanced planted random 3-SAT,SAT,moderate,200,852,near-threshold SAT 3-CNF with hidden balanced assignment
moderate,planted3sat_balanced_n200_m852_seed2.cnf,balanced planted random 3-SAT,SAT,moderate,200,852,near-threshold SAT 3-CNF with hidden balanced assignment
hard,planted3sat_balanced_n260_m1108_seed1.cnf,balanced planted random 3-SAT,SAT,hard,260,1108,larger near-threshold SAT 3-CNF with hidden balanced assignment
hard,planted3sat_balanced_n260_m1108_seed2.cnf,balanced planted random 3-SAT,SAT,hard,260,1108,larger near-threshold SAT 3-CNF with hidden balanced assignment
hard,planted3sat_balanced_n320_m1363_seed1.cnf,balanced planted random 3-SAT,SAT,hard,320,1363,larger near-threshold SAT 3-CNF with hidden balanced assignment
hard,planted3sat_balanced_n320_m1363_seed2.cnf,balanced planted random 3-SAT,SAT,hard,320,1363,larger near-threshold SAT 3-CNF with hidden balanced assignment
hard,planted3sat_balanced_n400_m1704_seed1.cnf,balanced planted random 3-SAT,SAT,hard,400,1704,larger near-threshold SAT 3-CNF with hidden balanced assignment
stress,planted3sat_balanced_n520_m2215.cnf,balanced planted random 3-SAT,SAT,stress,520,2215,large planted 3-CNF; use timeout
moderate,xor_sparse_sat_n64_eq82_w3_seed1.cnf,sparse XOR system encoded as CNF,SAT,moderate,64,328,parity constraints encoded to CNF
moderate,xor_sparse_sat_n96_eq125_w3_seed2.cnf,sparse XOR system encoded as CNF,SAT,moderate,96,500,parity constraints encoded to CNF
moderate,xor_sparse_sat_n128_eq165_w3-4_seed3.cnf,sparse XOR system encoded as CNF,SAT,moderate,128,1000,parity constraints encoded to CNF
moderate,xor_sparse_unsat_n48_eq62_w3_seed1.cnf,inconsistent sparse XOR system encoded as CNF,UNSAT,moderate,48,248,linear-algebraic UNSAT parity contradiction
moderate,xor_sparse_unsat_n64_eq86_w3_seed2.cnf,inconsistent sparse XOR system encoded as CNF,UNSAT,moderate,64,344,linear-algebraic UNSAT parity contradiction
moderate,xor_sparse_unsat_n80_eq108_w3-4_seed3.cnf,inconsistent sparse XOR system encoded as CNF,UNSAT,moderate,80,608,linear-algebraic UNSAT parity contradiction
hard,xor_sparse_unsat_n100_eq135_w3-4_seed4.cnf,inconsistent sparse XOR system encoded as CNF,UNSAT,hard,100,828,larger linear-algebraic UNSAT parity contradiction
hard,xor_sparse_unsat_n140_eq190_w3-4_seed5.cnf,inconsistent sparse XOR system encoded as CNF,UNSAT,hard,140,1104,larger linear-algebraic UNSAT parity contradiction
hard,xor_sparse_unsat_n180_eq250_w3-4_seed6.cnf,inconsistent sparse XOR system encoded as CNF,UNSAT,hard,180,1544,larger linear-algebraic UNSAT parity contradiction
stress,xor_sparse_unsat_n240_eq330_w3-4_seed1.cnf,inconsistent sparse XOR system encoded as CNF,UNSAT,stress,240,1996,large inconsistent XOR CNF; use timeout
moderate,tseitin_deg3_v40_sat.cnf,Tseitin parity on 3-regular graph,SAT,moderate,60,160,edge-variable parity constraints on a regular graph
moderate,tseitin_deg3_v40_unsat.cnf,Tseitin parity on 3-regular graph,UNSAT,moderate,60,160,edge-variable parity constraints on a regular graph
moderate,tseitin_deg3_v60_sat.cnf,Tseitin parity on 3-regular graph,SAT,moderate,90,240,edge-variable parity constraints on a regular graph
moderate,tseitin_deg3_v60_unsat.cnf,Tseitin parity on 3-regular graph,UNSAT,moderate,90,240,edge-variable parity constraints on a regular graph
moderate,tseitin_deg3_v80_sat.cnf,Tseitin parity on 3-regular graph,SAT,moderate,120,320,edge-variable parity constraints on a regular graph
