file,category,expected_status,vars,clauses,notes
extra_cnf/cardinality_exactly_one_sat_g10_s5_004.cnf,cardinality_exactly_one,SAT,50,110,pairwise exactly-one constraints per independent group
extra_cnf/cardinality_exactly_one_sat_g12_s6_005.cnf,cardinality_exactly_one,SAT,72,192,pairwise exactly-one constraints per independent group
extra_cnf/cardinality_exactly_one_sat_g16_s4_006.cnf,cardinality_exactly_one,SAT,64,112,pairwise exactly-one constraints per independent group
extra_cnf/cardinality_exactly_one_sat_g4_s4_001.cnf,cardinality_exactly_one,SAT,16,28,pairwise exactly-one constraints per independent group
extra_cnf/cardinality_exactly_one_sat_g5_s5_002.cnf,cardinality_exactly_one,SAT,25,55,pairwise exactly-one constraints per independent group
extra_cnf/cardinality_exactly_one_sat_g8_s4_003.cnf,cardinality_exactly_one,SAT,32,56,pairwise exactly-one constraints per independent group
extra_cnf/cardinality_exactly_one_unsat_g10_s6_005.cnf,cardinality_exactly_one,UNSAT,60,162,exactly-one constraints plus two forced true variables in the same group
extra_cnf/cardinality_exactly_one_unsat_g12_s4_006.cnf,cardinality_exactly_one,UNSAT,48,86,exactly-one constraints plus two forced true variables in the same group
extra_cnf/cardinality_exactly_one_unsat_g3_s4_001.cnf,cardinality_exactly_one,UNSAT,12,23,exactly-one constraints plus two forced true variables in the same group
extra_cnf/cardinality_exactly_one_unsat_g4_s5_002.cnf,cardinality_exactly_one,UNSAT,20,46,exactly-one constraints plus two forced true variables in the same group
extra_cnf/cardinality_exactly_one_unsat_g6_s4_003.cnf,cardinality_exactly_one,UNSAT,24,44,exactly-one constraints plus two forced true variables in the same group
extra_cnf/cardinality_exactly_one_unsat_g8_s5_004.cnf,cardinality_exactly_one,UNSAT,40,90,exactly-one constraints plus two forced true variables in the same group
extra_cnf/equivalence_chain_len10_sat.cnf,equivalence_chain,SAT,10,20,binary implication/equivalence chain; tests propagation and conflict analysis
extra_cnf/equivalence_chain_len10_unsat.cnf,equivalence_chain,UNSAT,10,20,binary implication/equivalence chain; tests propagation and conflict analysis
extra_cnf/equivalence_chain_len120_sat.cnf,equivalence_chain,SAT,120,240,binary implication/equivalence chain; tests propagation and conflict analysis
extra_cnf/equivalence_chain_len120_unsat.cnf,equivalence_chain,UNSAT,120,240,binary implication/equivalence chain; tests propagation and conflict analysis
extra_cnf/equivalence_chain_len20_sat.cnf,equivalence_chain,SAT,20,40,binary implication/equivalence chain; tests propagation and conflict analysis
extra_cnf/equivalence_chain_len20_unsat.cnf,equivalence_chain,UNSAT,20,40,binary implication/equivalence chain; tests propagation and conflict analysis
extra_cnf/equivalence_chain_len40_sat.cnf,equivalence_chain,SAT,40,80,binary implication/equivalence chain; tests propagation and conflict analysis
extra_cnf/equivalence_chain_len40_unsat.cnf,equivalence_chain,UNSAT,40,80,binary implication/equivalence chain; tests propagation and conflict analysis
extra_cnf/equivalence_chain_len80_sat.cnf,equivalence_chain,SAT,80,160,binary implication/equivalence chain; tests propagation and conflict analysis
extra_cnf/equivalence_chain_len80_unsat.cnf,equivalence_chain,UNSAT,80,160,binary implication/equivalence chain; tests propagation and conflict analysis
extra_cnf/exact_random3sat_sat_n10_m49_008.cnf,exact_small_random_3sat,SAT,10,49,status brute-force checked during generation; safe for checker --bruteforce-var-limit 16
extra_cnf/exact_random3sat_sat_n11_m40_017.cnf,exact_small_random_3sat,SAT,11,40,status brute-force checked during generation; safe for checker --bruteforce-var-limit 16
extra_cnf/exact_random3sat_sat_n11_m46_001.cnf,exact_small_random_3sat,SAT,11,46,status brute-force checked during generation; safe for checker --bruteforce-var-limit 16
extra_cnf/exact_random3sat_sat_n12_m43_012.cnf,exact_small_random_3sat,SAT,12,43,status brute-force checked during generation; safe for checker --bruteforce-var-limit 16
extra_cnf/exact_random3sat_sat_n12_m47_006.cnf,exact_small_random_3sat,SAT,12,47,status brute-force checked during generation; safe for checker --bruteforce-var-limit 16
extra_cnf/exact_random3sat_sat_n12_m47_013.cnf,exact_small_random_3sat,SAT,12,47,status brute-force checked during generation; safe for checker --bruteforce-var-limit 16
extra_cnf/exact_random3sat_sat_n13_m47_011.cnf,exact_small_random_3sat,SAT,13,47,status brute-force checked during generation; safe for checker --bruteforce-var-limit 16
