path	expected	detector	max_seconds	mode	notes
cnfgen_regression_pack/cnfgen_cases/bphp_p5_h5_sat.cnf	SAT	any	60	solve	binary_pigeonhole moderate binary pigeonhole principle
cnfgen_regression_pack/cnfgen_cases/bphp_p6_h5_unsat.cnf	UNSAT	any	60	solve	binary_pigeonhole moderate binary pigeonhole principle
cnfgen_regression_pack/cnfgen_cases/bphp_p7_h6_unsat.cnf	UNSAT	any	60	solve	binary_pigeonhole moderate binary pigeonhole principle
cnfgen_regression_pack/cnfgen_cases/bphp_p8_h7_unsat.cnf	UNSAT	any	60	solve	binary_pigeonhole moderate binary pigeonhole principle
cnfgen_regression_pack/cnfgen_cases/bphp_p8_h8_sat.cnf	SAT	any	60	solve	binary_pigeonhole moderate binary pigeonhole principle
cnfgen_regression_pack/cnfgen_cases/bphp_p9_h8_unsat.cnf	UNSAT	any	60	solve	binary_pigeonhole moderate binary pigeonhole principle
cnfgen_regression_pack/cnfgen_cases/cliquecoloring_n10_k4_c3_unsat.cnf	UNSAT	any	60	solve	clique_coloring moderate clique-coloring principle
cnfgen_regression_pack/cnfgen_cases/cliquecoloring_n10_k4_c4_sat.cnf	SAT	any	60	solve	clique_coloring moderate clique-coloring principle
cnfgen_regression_pack/cnfgen_cases/cliquecoloring_n6_k5_c4_unsat.cnf	UNSAT	any	60	solve	clique_coloring moderate clique-coloring principle
cnfgen_regression_pack/cnfgen_cases/cliquecoloring_n8_k3_c4_sat.cnf	SAT	any	60	solve	clique_coloring moderate clique-coloring principle
cnfgen_regression_pack/cnfgen_cases/count_m10_p2_sat.cnf	SAT	any	60	solve	counting easy counting partition principle
cnfgen_regression_pack/cnfgen_cases/count_m11_p2_unsat.cnf	UNSAT	any	60	solve	counting easy counting partition principle
cnfgen_regression_pack/cnfgen_cases/count_m6_p3_sat.cnf	SAT	any	60	solve	counting easy counting partition principle
cnfgen_regression_pack/cnfgen_cases/count_m7_p3_unsat.cnf	UNSAT	any	60	solve	counting easy counting partition principle
cnfgen_regression_pack/cnfgen_cases/count_m8_p2_sat.cnf	SAT	any	60	solve	counting easy counting partition principle
