folder,filename,family,known_status,level,vars,clauses,max_seconds,source_command,notes
cnfgen_cases,bphp_p5_h5_sat.cnf,binary_pigeonhole,SAT,moderate,15,65,60,cnfgen -S 31150 bphp 5 5,binary pigeonhole principle
cnfgen_cases,bphp_p6_h5_unsat.cnf,binary_pigeonhole,UNSAT,moderate,18,93,60,cnfgen -S 31151 bphp 6 5,binary pigeonhole principle
cnfgen_cases,bphp_p7_h6_unsat.cnf,binary_pigeonhole,UNSAT,moderate,21,140,60,cnfgen -S 31152 bphp 7 6,binary pigeonhole principle
cnfgen_cases,bphp_p8_h7_unsat.cnf,binary_pigeonhole,UNSAT,moderate,24,204,60,cnfgen -S 31154 bphp 8 7,binary pigeonhole principle
cnfgen_cases,bphp_p8_h8_sat.cnf,binary_pigeonhole,SAT,moderate,24,224,60,cnfgen -S 31153 bphp 8 8,binary pigeonhole principle
cnfgen_cases,bphp_p9_h8_unsat.cnf,binary_pigeonhole,UNSAT,moderate,27,288,60,cnfgen -S 31155 bphp 9 8,binary pigeonhole principle
cnfgen_cases,cliquecoloring_n10_k4_c3_unsat.cnf,clique_coloring,UNSAT,moderate,115,959,60,cnfgen -S 31206 cliquecoloring 10 4 3,clique-coloring principle
cnfgen_cases,cliquecoloring_n10_k4_c4_sat.cnf,clique_coloring,SAT,moderate,125,1034,60,cnfgen -S 31207 cliquecoloring 10 4 4,clique-coloring principle
cnfgen_cases,cliquecoloring_n6_k5_c4_unsat.cnf,clique_coloring,UNSAT,moderate,69,542,60,cnfgen -S 31209 cliquecoloring 6 5 4,clique-coloring principle
cnfgen_cases,cliquecoloring_n8_k3_c4_sat.cnf,clique_coloring,SAT,moderate,84,447,60,cnfgen -S 31208 cliquecoloring 8 3 4,clique-coloring principle
cnfgen_cases,count_m10_p2_sat.cnf,counting,SAT,easy,45,370,60,cnfgen -S 31011 count 10 2,counting partition principle
cnfgen_cases,count_m11_p2_unsat.cnf,counting,UNSAT,easy,55,506,60,cnfgen -S 31012 count 11 2,counting partition principle
