category	file	vars	clauses	expected_status	family	notes
small	small/test_1.cnf	20	85	SAT	planted_3sat	hidden assignment near 4.25 ratio
small	small/test_2.cnf	30	128	SAT	planted_3sat	hidden assignment near 4.27 ratio
small	small/test_3.cnf	40	170	SAT	planted_3sat	hidden assignment near 4.25 ratio
small	small/test_4.cnf	18	48	UNSAT	xor_parity	contradictory sparse parity pair
small	small/test_5.cnf	24	96	SAT	xor_parity	sparse parity system with hidden model
small	small/test_6.cnf	20	45	UNSAT	pigeonhole	classic PHP unsat
small	small/test_7.cnf	12	34	UNSAT	graph_coloring	K4 is not 3-colorable
small	small/test_8.cnf	25	165	SAT	nqueens	5x5 queens
small	small/test_9.cnf	32	56	SAT	cardinality	independent exactly-one groups
small	small/test_10.cnf	48	49	UNSAT	horn_chain	forced true chain ending with false
medium	medium/test_1.cnf	60	255	SAT	planted_3sat	hidden assignment near 4.25 ratio
medium	medium/test_2.cnf	100	425	SAT	planted_3sat	hidden assignment near 4.25 ratio
medium	medium/test_3.cnf	160	682	SAT	planted_3sat	hidden assignment near 4.26 ratio
medium	medium/test_4.cnf	200	850	SAT	planted_3sat	hidden assignment near 4.25 ratio
medium	medium/test_5.cnf	72	297	UNSAT	pigeonhole	classic PHP unsat
medium	medium/test_6.cnf	90	415	UNSAT	pigeonhole	classic PHP unsat
medium	medium/test_7.cnf	56	372	UNSAT	graph_coloring	K8 is not 7-colorable
medium	medium/test_8.cnf	96	500	SAT	xor_parity	sparse parity system with hidden model
medium	medium/test_9.cnf	128	660	UNSAT	xor_parity	contradictory sparse parity pair
medium	medium/test_10.cnf	90	570	SAT	graph_coloring	planted 3-coloring
large	large/test_1.cnf	220	1050	SAT	planted_3sat	large hidden assignment instance
large	large/test_2.cnf	260	1108	SAT	planted_3sat	large hidden assignment instance
large	large/test_3.cnf	300	1000	SAT	planted_3sat	large lower-density hidden assignment instance
large	large/test_4.cnf	360	1000	SAT	planted_3sat	large lower-density hidden assignment instance
large	large/test_5.cnf	420	1100	SAT	planted_3sat	large lower-density hidden assignment instance
large	large/test_6.cnf	480	1200	SAT	planted_3sat	large lower-density hidden assignment instance
large	large/test_7.cnf	210	1485	UNSAT	pigeonhole	large PHP unsat inside clause limit
large	large/test_8.cnf	240	1816	UNSAT	pigeonhole	larger PHP unsat inside clause limit
large	large/test_9.cnf	256	1520	UNSAT	xor_parity	large contradictory parity system
large	large/test_10.cnf	360	1920	SAT	graph_coloring	large planted 3-coloring
special	special/easy.cnf	120	120	SAT	unit	very easy all-unit SAT
special	special/dense.cnf	200	1500	SAT	planted_3sat_dense	dense hidden-assignment 3-SAT
special	special/hard.cnf	90	775	UNSAT	graph_coloring	K10 is not 9-colorable
special	special/xor.cnf	320	1920	UNSAT	xor_parity	large sparse contradictory parity system
special	special/coloring.cnf	500	1975	SAT	graph_coloring	500-variable planted 4-coloring
