category	file	vars	clauses	expected_status	family	notes
small	small/test_1.cnf	20	85	SAT	planted_3sat	hidden assignment near 4.25 ratio
small	small/test_2.cnf	30	128	SAT	planted_3sat	hidden assignment near 4.27 ratio
small	small/test_3.cnf	40	170	SAT	planted_3sat	hidden assignment near 4.25 ratio
small	small/test_4.cnf	18	48	UNSAT	xor_parity	contradictory sparse parity pair
small	small/test_5.cnf	24	96	SAT	xor_parity	sparse parity system with hidden model
small	small/test_6.cnf	20	45	UNSAT	pigeonhole	classic PHP unsat
small	small/test_7.cnf	12	34	UNSAT	graph_coloring	complete graph coloring UNSAT
small	small/test_8.cnf	25	165	SAT	nqueens	5x5 queens
small	small/test_9.cnf	40	70	SAT	cardinality	independent exactly-one groups
small	small/test_10.cnf	48	49	UNSAT	horn_chain	forced true chain ending with false
medium	medium/test_1.cnf	60	255	SAT	planted_3sat	hidden assignment near 4.25 ratio
medium	medium/test_2.cnf	100	425	SAT	planted_3sat	hidden assignment near 4.25 ratio
medium	medium/test_3.cnf	160	710	SAT	planted_3sat	hidden assignment near threshold
medium	medium/test_4.cnf	200	880	SAT	planted_3sat	hidden assignment near threshold
medium	medium/test_5.cnf	72	297	UNSAT	pigeonhole	classic PHP unsat
medium	medium/test_6.cnf	90	415	UNSAT	pigeonhole	classic PHP unsat
medium	medium/test_7.cnf	90	775	UNSAT	graph_coloring	complete graph coloring UNSAT
medium	medium/test_8.cnf	96	500	SAT	xor_parity	sparse parity system with hidden model
medium	medium/test_9.cnf	128	660	UNSAT	xor_parity	contradictory sparse parity pair
medium	medium/test_10.cnf	114	752	SAT	graph_coloring	planted 3-coloring
large	large/test_1.cnf	240	1050	SAT	planted_3sat	large hidden assignment instance
large	large/test_2.cnf	280	1120	SAT	planted_3sat	large hidden assignment instance
large	large/test_3.cnf	320	1020	SAT	planted_3sat	large lower-density hidden assignment instance
large	large/test_4.cnf	380	1060	SAT	planted_3sat	large lower-density hidden assignment instance
large	large/test_5.cnf	440	1150	SAT	planted_3sat	large lower-density hidden assignment instance
large	large/test_6.cnf	500	1250	SAT	planted_3sat	large lower-density hidden assignment instance
large	large/test_7.cnf	210	1485	UNSAT	pigeonhole	large PHP unsat inside clause limit
large	large/test_8.cnf	240	1816	UNSAT	pigeonhole	larger PHP unsat inside clause limit
large	large/test_9.cnf	280	1720	UNSAT	xor_parity	large contradictory parity system
large	large/test_10.cnf	375	2000	SAT	graph_coloring	large planted 3-coloring
special	special/easy.cnf	180	180	SAT	unit	very easy all-unit SAT
special	special/dense.cnf	200	1600	SAT	planted_3sat_dense	dense hidden-assignment 3-SAT
special	special/hard.cnf	132	1398	UNSAT	graph_coloring	complete graph coloring UNSAT
special	special/xor.cnf	340	1920	UNSAT	xor_parity	large sparse contradictory parity system
special	special/coloring.cnf	500	1995	SAT	graph_coloring	500-variable planted 4-coloring
